商品名,カテゴリ,AmazonURL,AliExpressURL,マッチング精度,Amazon価格,Amazon型番,AmazonEnglishTitle,AliExpressTitle
UGREEN Nexode 20W 急速充電器 ホワイト,充電器,https://www.yodobashi.com/product/100000001008816626/,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZbiSowkFsJDe2YE5RZf15Va8wfBoXINF8qPJQ7HU5wLPrJCmRwJqCEF83zc4eB33RUdb3glYpUN5Hs1awIVzd07t0OJo8ojVxR0fFUUsxe1BAXuGsIlJ8uRANdG60SMospFuvYh8lSuwvlvioIYFRDEy0Fj9MV5E2XdjfxzrxvlEmJarn0fZOg2mKV68BNRy9gy68eTBv5Fy9Wt8uS57vx5mhndWbGT7XRPIOTy2wzKCvkBd1isGE4ahGVhVoe0E2Rs8H97oEOD2xPimuE2sL2isue8PAM4ooh7971WgHGa0nCwq9wxzna2w443TvmqP9l0hEP8lcJkKCRAqxbqkLqb5Vs27tUghOI3AXkGnAYvcsYXn7TuplEuWjGQnmIX7JohDGMIn3qtAnRn7mNedT4n4JgwfCjUq0BlPCXCCA4Ft9fQrmFYsYhgTVYidDSFkyBxAncaz02MOb5ZRXv2XVlfNls9ncnXz5A1f3TKpWFzsfOi4XiXsMNmDObpD0pRTD2IgiCyvEokZ4HqWCQonas6SlTRonSxx1NMLxkIvHE4MvnO1CLpY1NLAw9MdnWFMVjRMBcw3ImYvMY9j574Mud32ClGfkKeAvGx4JkctfgriWVDHJeYpw22j2A88hvlpbgAFbxijbRJBxRmB2UyamqKsE4e03EtrvjG0CMDzKyovbAaal6T,medium,,,,【米国プラグ】UGREEN 20W 30W GaN 充電器ミニ PD 3.0 USB C 電話充電器 iPhone 16 15 14 Pro Samsung S25 Xiaomi タブレット iPad Air用
UGREEN Nexode 300W GaN デスクトップ急速充電器,充電器,https://www.amazon.co.jp/dp/B0CTC7KYZF,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVYRdtkgMNLAWAyFyyDHnxY61IYm41xkwOpLZ6w5Hjnh1vCl9Uu6S58uUX03Xgf7R3Gx0zNNlCYT1n5htwMhviKaDjoNFi0Yty1SseDUHg1jX3romlZ7Y1wcLTH3eHWyiXtSHfOhPNkmfLQFgWoX0HzqM6LWXUOOZw2OnNX47o11Ayy7oQO0Y5JiQ52E3GGxt3NhezPdZPumOHcIrwpKcXVLAwgJNVwFmReJPbkTehGhBWVFZB84gFgoMYb0kMZvGhZ5dIXvNg0ujvQMRyTqBcf3Oc004Kj4elf8mrZPPrbA2OtGlScBWjmQtWS8YZ2c7Ugh1Pqd8FnbFWWmaUfmgSKPq4BJUYia5AiBmfzgF6n1sVz39ZP3cPTAFmgGR8UHCEQ6J7ofUY1EMCrpXXui2enL86YfTvo6S7mAFvPyDb0ARAN1PaI9Gj3KrYmNkM8goloDjRanq5SgvB85lhgkSK2mHZlUCriWokLfKyVnjfdcip2Ucjd10rG5JZDnZ6GTu4WGAQ0qo6eQKIuWv2XfpSIzzZ9gc7UmNo7Inuw2Ul6aVSjCI4v5aLRVffzPuhBxyy8qQ72nz311z8edLo7Mlipi2lDnirhOJq6qyglDlU6JtBouvlMedwrc01TT0B0wVAP77eVzKErp96OIcAapTiM9nNqUGPXKjmI0gyHw02z0jARFU1FKb,medium,"¥13,985",15853JP,UGREEN Nexode 300W Charger [Improved Version] PD3.1 Compatible 5-Port Simultaneous Rapid Charging 4 USB-C & 1 USB-A Vertical Space-Saving Double GaNFast III (Gallium Nitride) Single Port 140W Always,UGREEN 45W GaN充電器 5ポート PD 3.0 UFSC PPS USB C急速充電器 iPhone 17 16 15 Pro Max Samsung S25 Xiaomi タブレット iPad Air対応
UGREEN Nexode 65W 急速 充電器 4ポート,充電器,https://www.amazon.co.jp/dp/B0CYZ52VPX,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZbRot5csElXhvRHZJdv58yKTlvAPHWl6j1eVMbvq57FyNvi82IJFOsJTYm2fMj4l8tozx56uLXNbimBQVzRe0ccqxcNsUFZPQPvNgbkE1liqLbR3o7gJ96xGejR3CnFGjuEIghmE9SfjkEaLobPbLqZt4n3OQqaD624IArNr4eAjnp3bBKaSFJ9wt2BlgW4hDCElLTqpd1ThnKWuVot62gnPv1Qv6GsuYBn83rEuTjleDSsXWLFWtTkK3jQExdk9YDbQW14DMvKCYYKbeWW356jX0jQUL2fbIGU8TqwFZEXpPwBwuOfiWg5PXMZfdQFzInIHw3GpQXcLV19FwvOSAo7Rt2j6S4LhC2aV1p3FSJRWPWu9feCG62prcVW7HZTEXMDsH5apeg8yD90efRYw1XzxglXbB8mcZWdfsbgnStNc5nda88hGkUCsYLXj4biBtR7M4tiaFZyvWRmyk2Hpxb6y8FrfPl3WFIapDV6jN50vjmcifLdBKGn5s7Nf0GrBgAju3hAw11O60CWblde4A3Rb4jScLF8EY84osAsFt3Z1rfdBPIP41D9kth3VXGwrD00YQZ9U0viL1oX3aNd5Dfz6ntwOZthXXtn8U1LqpxgKU0zR3CjsZNCsYAfQSv2TIGWz3bGv6lJxEnIkymp4uLpI8Etw7NjinqqnxZb7PlMqP4fjsQr,medium,"¥3,780",X559,"UGREEN 65W Rapid Charger, 4 Ports, USB-C x 3 + USB-A x 1, Type C, PD3.0, GaNII Charger, Compatible with iPhone 16, Android, Galaxy, Macbook, iPad, PC, and Other USB-C Devices, PSE (Black)","Ugreen-gan-携帯電話充電器,3ポート,pd 3.0,usb c,iphone 16,15,14 pro max,samsung s25,xiaomiタブレット,ipad air,30w"
UGREEN Nexode Air 45W急速充電器,充電器,https://www.amazon.co.jp/dp/B0G64K1H7N,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVYQz7XwwBzhOfD0ksoC451vjfQC1Dl0KIKuEUThGFmmgKnzQ3FCVQueu1s9bgJhnq21KP3dzTuVUoKGUnvzLOrC9M2pbN1pss3suUmWzNAprJM2FEXKZbIfuUBq42ws4oWnXs1pamBOyLabdUHOsKIx1Rud5hGemO5VWggAdmhFn3fdccOzmwGNydSBavI559KufqwNIX9z7vs25FZiPiuFAiUTeKtDCFmgxXOVa6GQXNBQeQiJx7teecm7aXez1PE2jZYtGS32QCQTs2vbW1LyFUCxVJDmoxk8cYFirn6xFc0vxzL4GzDkY4UBpa9demQvcfYy8bQd1uXfERw5BwYnApIvlX9v7piLZMh2NoqVJ2ywOI8vjpsKDQNhPNFFHmRsth01IIl4NZQq8OnnTc4zqNnpamW7WE6j08Qok5Dhu79NdJBd4IjkE1Pc4vaR2BfhyVIGFpb9N1zgez6uVLgQZi5o3shPAVW91XpIG0acvX6EzA89fSph3dAf9ivF67ycdqCwk0hDUANJyCvbnjKTRhjbLlYM9LJ1q1eah1YzXkoB0hYD8VhrgmsnU5M80E9oeRynHfjVnf9sh09tutOODu3TfEsPKutjp9Nb9jOuWDRVsmSsGl7sVMrfFNNB8cPeVXjz68BegR2cRJ6afoSqSQKSvRr6yDnTdgyUWmFkptqT47bKj,medium,"¥2,459",X840,"UGREEN Air 45W USB-C Our Smallest Charger, GaN Fast Charging, Type-C Folding Plug, Compact, PSE Certified, Compatible with iPhone 17/16/15/14/13, iPad, MacBook Air, Galaxy S25/S24/S23, Android Devices","IPhone 15, 14 pro,Samsung s24,s23,ガン,45w,pd,qc UGREEN-USB,usプラグ用の急速充電器3.0"
UGREEN Nexode Air 45W急速充電器Slim,充電器,https://www.amazon.co.jp/dp/B0G64NF1FQ,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZbJTZJ1daRvWrkLTG4UZmlWNrXR2gv5qYBBCOsJysiCf8GUGPGfQuVoHeNxiIfEmBqiCp3LwolislMJMmmHaIDZ2NiSupEsmkwIAA7pLCPRVZyccIplLc9DIyhKdwzOSOHoTflqKvOEhgJkzTj2T8SZsNrs6sfvvp62oDLvrzELHU6hz2YWIpCuyXr23pHHH68z1i2S15gQnRIi5KD9qZkKwOHoa6NVzS4WNeR3h42SwqppVQW3MNSRmTvoaeTTfPfhepNvgT9Y8sFSRgvvqEC4qYLiLxi83Xfcl3E3rmnl36sBcaPu1O2VTKMYnaJUQdh3HqKKdlshHZqSUsUopHzqGMXaFSSJVYiaXoCJR2g4ZVqoJT1hBT4tjaDNXtlZWCfq52yoLrSEPLEYVgNFVvgexsV8OPvZ8ilUGz6ZrtLuxSu8TMGr2p4UJOyayfl5T19WogvA3ZlFYTsyb8H712UR7340P5NR34pcVusQ8wTdGNc8cOVu4xqBkbdlwLFTQqsTusccD4PUOcgPzgINwCrBcqOJu09tkbs2nBsNqIEWwah0BDISNWSMW67n21lrAONArzErMRicNMAG5IdHPorj9fMZvUBazT5Enk1fTAMYUTEh2clmIyXXGTk6itulzDAdecwT0rF4A3mF0yZpAE10fPNOy2GCzoT2GyCCtLNuDYjBl96F,medium,,,,UGREEN 45W GaN充電器 PD3.0 PPS QC3.0 USB C急速充電器 Samsung S25 S24 Ultra iPhone 16 15 14 Pro Max iPad Xiaomiタブレット対応
UGREEN Nexode Air 65W急速充電器,充電器,https://www.amazon.co.jp/dp/B0GDCPBYHF,,low,"¥3,210",X860,"Ugreen Air 65W USB-C Ultra Compact GaN Rapid Charger, Folding Plug, 1.3 x 1.2 x 1.6 inches (33 x 31 x 40.4 mm), Compatible with iPhone 17/16/15/14/13, MacBook Air, iPad, Galaxy, Android, Smartphones",
UGREEN Nexode Air 65W急速充電器Slim,充電器,https://www.amazon.co.jp/dp/B0G7HPMG6C,,low,,,,
UGREEN Nexode Mini 30W GaN 急速充電器 白,充電器,https://www.yodobashi.com/product/100000001008134846/,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZer050zatCB1WgjaQs3wqrJL2WULMRLRN23W7GoSIxY41HEqiJ6dX6uYbxMxFlEB9rDKOpPliwUdBdGYRqU1XJcWv5PtFq8PVvfk97QleU709t35fZ5SQalzxyJiCO4HwAuMZfZTRIyMQVsQpliRuJoOTtYRxS0EtwkQrCHAeSLQ7nET0mfU2CVNIIxCkSVvvb8w6dOHhEa77kGXhbiUNSBSt5163nWu0xn8J9zH4wXEiBV8OUcYNeXtyftNQxQPHLMgDmbZFBN25KFllLNB4JH0Sy5jlybZn6DBDYH2n8ZPuvKKTQtIlRDd2DtDnGKf59Frq9wx32Kf0OPBcwqnbKAr7IC1hX1tK6dSfxPKFPVYytGumHn8CXQvGPeern7OsvJvNCjpklmWduowFK3D2ljXd7GUHz3fj44GdsSBar5Lzu2bcqfh5ytoarhNQIpITPr3mjEC0HQ3EKB8xK2m8U7F8Pr6c7wCtPG0QGgxuen7NjmrOIqihZyNHhMO5ANy7Gnu90LcctmvdPpy8oF4vAdy82b6dwL1u8r2KiouxAwG5G2e8LPyJGbuRRMFit1b1ftixYaLSsneWx5Ep1kHj72zPkiFezGNyFNDqT20wfodbELW8Pe76AK3YtOWAeYTghB78sI6jVbTEfSZyPTZ3DPPS3dahiTrufyNiqY5WxOcrDaRRxd,medium,,,,"Ugreen-携帯電話用の急速充電器タイプC,iPhone 15, 14, 13, 15,pd3.0,ipad pro,samsung,xiaomi,ガン30w用の充電器"
UGREEN Nexode Mini 45W GaN 急速充電器 白,充電器,https://www.yodobashi.com/product/100000001008134847/,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZbDI7Bgvb6oeHbibZNqufSLnF4KZ4xHzNwWA8oD8xG83lNd2eFabsai3gtwNeE3Guq4DhMiYHUfgCFMHyUxaeFPpGJ3LROOtoygy0PT1kps1C06PIHSZSOnBiEEqCKfkNIdBZ9cBOBJ7gfBGOj6MtHkpGbFX0XJUVqETxErupgirhWI7lilnwFTdgYda8JMlp5FmHkww619gO9zwB9tZUMUvwTjBsrZ4fzSxtKgtRD5aJsUk8LaVbPkuVryGtOBjPOeeTSdZORhTS7sh1zsELDO7QB1FDZ6PQMJUDrLa1GWrHy3ygFeONjvrlqYuSM6rcmO0T0RAiR7zQJKFfAtMcMCn5ooAY2Xt5gqAyb9MRAZkzZX9cYj8q6IepsUMPHCueDzL9peBXp4ibbXwlBaZyEzDWlVDVVU1mrqx8Zw9Tzcm7pVFNd1Uz1srCEBa1RD4soAxyNNeBrc41YMtNKgcmNI1NXh7RWUBeAyfQIa6Wwj65TmfbePSphXFxqoPn87oM096akPK0Xa3Kl8RufVTKbb0IhAjkWVOi5BwzULylnPvRrDujPMwL9voUrCHpNSchPKN2dGCohjNTacVW5oH3yHNO3sdThwJDtrWWgITKFcldGJJQ6zaM5Kp8Fu2KFeM8PluSbenLiBZ7B3BxHZzQ7lXvP6aWVbIXZxu7iEEo68HhcBThuX,medium,,,,【英国プラグ】UGREEN 20W 30W GaN 充電器 ミニ PD 3.0 USB C 電話充電器 iPhone 16 15 14 Pro Samsung S25 Xiaomi タブレット iPad Air用
UGREEN Nexode PD 65W GaN 急速充電器,充電器,https://www.yodobashi.com/product/100000001008134848/,,low,,,,
UGREEN Nexode Pro 100W GaN 急速充電器,モバイルバッテリー,https://www.yodobashi.com/product/100000001008292046/,,low,,,,
UGREEN Nexode Pro 65W GaN 急速充電器,充電器,https://www.yodobashi.com/product/100000001008292045/,,low,,,,
UGREEN Nexode Pro 薄型急速充電器 65W GaN 2C1A 3ポート 海外用変換プラグ付き,充電器,https://www.yodobashi.com/product/100000001008588044/,,low,,,,
UGREEN Nexode モバイルバッテリー 25000mAh 200W,モバイルバッテリー,https://www.amazon.co.jp/dp/B0CXHM5RY2,,low,"¥12,435",35525,"Ugreen PB722 Nexode Mobile Battery (25,000 mAh/200 W), 3 Ports, 2 USB-C, 1 USB-A, Innovative TFT Display, PD3.1, Supports Rapid Charging, Large Capacity, Vertical Design, Space Saving, Pass-through",
UGREEN Nexode モバイルバッテリー 12000mAh 100W,モバイルバッテリー,https://www.amazon.co.jp/dp/B0CXJ1F1M7,,low,"¥5,990",PB724,UGREEN Nexode Power Bank (12000mAh・100W) 2-Port USB-C + USB-A Compact Small Vertical Design Space-Saving Large Capacity PD Fast Charging Compatible LCD Display Pass-Through Function Low Current Mode,
UGREEN Nexode モバイルバッテリー 130W 20000mAh 原神モデル,モバイルバッテリー,https://www.amazon.co.jp/dp/B0DK9274K3,,low,,,,
UGREEN Nexode モバイルバッテリー 20000mAh 130W,モバイルバッテリー,https://www.amazon.co.jp/dp/B0CXHNGDC1,,low,"¥7,998",PB721,"Ugreen PB721 Mobile Battery (20,000 mAh/130 W), 3 Ports: USB-C x 2, USB-A x 1, Innovative TFT Display, Supports PD and PPS Rapid Charging, Vertical Design, Pass-Through/Low Current Modes, PSE Technology Standards Compliant, MacBook/iPhone 17/16/15/Galaxy/Windows/PC/iPad/Android/Smartphones/Laptop/Other",
UGREEN Nexode モバイルバッテリー 4-in-1 20000mAh 145W,モバイルバッテリー,https://www.amazon.co.jp/dp/B0D4F34SB4,,low,,,,
UGREEN Nexode モバイルバッテリー 48000mAh/153.6Wh 300W,モバイルバッテリー,https://www.amazon.co.jp/dp/B0CJY37RT3,,low,"¥16,436",PB770,UGREEN Nexode Mobile Battery (48000mAh・300W) 5 Ports 3 USB-C + 2 USB-A Input/Output PD3.1 140W Fast Charging Compatible Handle/Large Digital Display/LED Light/240W Charging Cable Included Vertical,
UGREEN Nexode 充電器 140W 3ポート,充電器,https://www.amazon.co.jp/dp/B0B129DM9T,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZb7MJedlYy9jam6fMdAdAviepCUKn6Rj9UrrPT90yJx2SeMBxOdHSSU6jImcOlTtdkLg9mMgKNnPau7HqP2B7HI7Ulpe69IPnIAAktQiPrkyKWI5iChBZkgBbwbqE8eNShwJOhLnB2uKPrOIMvKrTy9eihWho2JBFeMyXTclB1cXJeLdKgcvEO68qckhzwMdgHXINuPxfEr9MRZ4HRsGGDqXHn3Y9isaEz24vQKYuaFtM4g9dn0bhFQC9qkfIBADvfn7E295ia8kBOhUAc5PBg1UzzJ9V1j2mdY0cJS0vW6oFSP2aH8bTN9xlWUy48jqKOGzSFROoxgkcbNFbz3zV4NcJFwSROL5UbKNdqbXFvtfE9miQMqPNL0y9zPVJBbA5R2QNgQhMU6g9L0P3T0C0E2Zq3tdOQBReDvDX25yQJQe2RHiytt4dkEIFu0JlFEIqiP7Bf7jUyAi2kVJVY3Dp4iw6fzt9Gy899hKIdwvoHQZTdaLN45yp9VkoY8lwWhTIdW0oExnxMIjCJusppk6QIuJrVjMh4TXN649ZdEbiwEG5I1XjPRwgGa7hcuFHafvYrupS8sJaU8TocCM3oJJ0PYkGK5XbUpDxsKVRnCxDurMCtFA4uMAGWs1YuS7rX3fWZBskXYT3NWFbHvMwQtrTExSe8FsURcsRvsBHIcH4xPdJPPXj6b,medium,,CD289,UGREEN Nexode Charger Single Port 140W Can Rapidly Charge Two Laptops Industry First PD3.1+QC5.0 Support [UGREEN's Proprietary GaNFast Technology] 2 USB-C Ports + 1 USB-A Port Foldable Plug Compatible,UGREEN GaN 45W USB充電器 PD QC 3.0急速充電器 iPhone 16 15 14 Pro対応 トラベルフォン充電器 Samsung S24 S23対応
UGREEN Nexode 巻き取り式 USB-Cケーブル 100W,ケーブル,https://www.amazon.co.jp/dp/B0DXDT9SKW,,low,"¥1,448",,"UGREEN 39.4 inches (100 cm) Retractable Type, PD 100W/5A USB-C Cable, 4 Adjustable Levels (14.2/23.6 / 39.4 inches (36/60/82/100 cm), Lightweight, Mini, Portable, Room Storage, Double Draw, Metal Finish, PPS Compatible, E-Marker iPhone 17/16/15/15/Series Compatible with Smartphones, Computer, Tablets, Type-C (Black)",
UGREEN Nexode 巻き取り式 USB-Cケーブル内蔵 カーチャージャー 145W,車載充電器,https://www.amazon.co.jp/dp/B0DSBNYRKS,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZb3GhLBLAiJlvMhI8qUDCrH49kiaPldxj6r7otkeOTDkSwIo0dLeelPcWPhikm9J4dKH56db0thmYwtdqKMNAoysFdHShW3vNoWy6oY5qNDVkrM9KqtfvSdvBlSLO764X0cVuwuOTpAQt0jliiyKtYc0jDAWeK9weK4FPK9x3PFX0Qcf69I3lPmiJ13FmteHRGAki08x7Ewbq3BOukpmGOndvj7Nuoh5GdfDRt4txurhRmrJArC4GeqAzG93Lk718Ku139WnYqeETvkr1ypeWldlO5gDBunNeekdH3xeDoSNoJhQpigG0lMaeVak3SZh6HgwBc9Rd3dv9hAreqC5xGALYAMoM1VmeBf1bIzuUSieRqZX0ufOlDt5qblEYDYkBJEZ1AfOOaLwacLaAsyCN10Ap2gnoXYtA1e9p6EMuIvSmkkDAa4PNY2ygUzc4rwdG8CSBd7GtjyKc7DZT8KNBUrqNpynRzNHZkRqUQioqMHoPY745t9L1MGpNJO15i7ZL3GO1467s9W88IPXSqYgoFAam3SHrL8DUTnf2PIGfAimWV3lBuP7n1wxO8dvql4zUqlyQFEaleCwxeEQxf4tWLOkPtsUo5dublFyYqFb40vjdBPVE4r2khMpXUwZKu6SQjeRwZe44B4O2vBm5Qb3yactH45GBcYPLsvEXNhhoOI8gi2o0N9,medium,"¥3,680",EC604,"UGREEN [70cm Retractable] Total 145W Cigarette Socket for PC Work in Car with Built-in USB-C Cable, Length and Angle Adjustable with One Hand, ""Car Utility Storage"" PD and PPS Compatible, Compatible","Ugreen-USB Type-Cモバイルケーブル,100W,100W,66Wの拡張,強力なスプリング,カーチャージャー,Huawei Honor"
UGREEN Nexode 巻き取り式 USB-Cケーブル内蔵 カーチャージャー 60W,車載充電器,https://www.amazon.co.jp/dp/B0DSBSBSGW,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZD4Fr40YdGGtYluc16nbqMPlfB6B7Cy5xA0r26f8JTSDtNdrFkOfKyi57T8BzlChM3tfP9uFIYKgoMRZ9zHbzifUYHy8zcxxra9toWbcmnCotWqOZNfz3S9iaVRtDHsHcT9Qn4FeegTJPqpnLdFHNhWLl8dAeu1MBOHmxVJqlplOjsp0FLcw3WJtnyWlCNDkQhu7QSM6VJOVee3cA58MF98xMolI7CWtrcdTFY8UwpfsiHgrEv8R3jG7iefIGHpCaft828b2oBwXVchvO4FdifSpWd6NOCtf0G3ktRfpSoDc1hyPN98suoru3aJs12bbQxcqivzpQi9vWrWVcjofuYLJX7U9ObeHA1YS6IBr5BI0GRl33ffXXPSxkTTeXXti6Jkqc3pDEnfTbYDwD8nkllf0dqP5bKDWRbfp0mdNw04glNNoCpRXCP7tvIfslgcD1dSHGfRE4RYpYC41Gti2kXH5akWWTygm48zmw8ogz3Rhhwr0Z4Hl3XpUOqaABojdaND5lpkDosaUWFZb9PR7EG0zu8pOxSgi8YWjT9mbqQGqzdVmEtbEgIUtphGJ3NEwYQXctptY852NDv5a4ELSaYXywY41FRlsVfCXrXbjuOZjXuWVOauRZlsxCXPAWeawqsZ7ok7qbC3phEskGl4Yddl2Hf5kMwRxJOdc9J6ekP1mh4ASLQ3,medium,"¥2,864",EC602,"UGREEN [70cm Retractable] 3-Port Total 60W Cigarette Socket with Magnetic Storage for Upper Cord, Adjustable Length and Angle with One Hand, ""Driving Utility Car Storage"" Supports PD and PPS",【新入荷】UGREEN USBカーチャージャー 30W急速充電 4.0 QC4.0 QC3.0 PD Type C 急速車載USB充電器 iPhone 17 Xiaomi携帯電話対応
UGREEN Nexode 巻き取り式 USB-Cケーブル内蔵 モバイルバッテリー20000mAh 165W,モバイルバッテリー,https://www.amazon.co.jp/dp/B0DSPXHFBM,,low,"¥9,960",PB726,"Ugreen PB726 Nexode Retractable USB-C Cable Built-in Mobile Battery (20,000 mAh/165 W), Supports Rapid Charging for Laptops, Supports PD, PPS, 5A Specifications, Equipped with TFT Display, Pass-Through/Low Current Modes, PSE Technology Standards, MacBook PD Compatible, Windows PC, iPad iPhone 17, Galaxy S26, Ultra Android Smartphones, Laptops",
UGREEN Nexode 巻き取り式 USB-Cケーブル内蔵 充電器 100W,ケーブル,https://www.amazon.co.jp/dp/B0DXFJLSZH,,low,,,,
