ASIN,商品名（簡潔）,カテゴリ,価格(JPY),元価格(JPY),星評価,レビュー数,月間販売数,型番,在庫,商品URL,メイン画像,元タイトル
B0CM2WKGLC,Thunderbolt 4 ドック 8-in-1 85W,USBハブ・ドック,,,4,255,,25053,Click here for details of availability.,https://www.amazon.co.jp/dp/B0CM2WKGLC,https://m.media-amazon.com/images/I/61h4h6SGKxL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN Revodok Max 208 Thunderbolt 4 Docking Station 8-in-1 40Gbps High-Speed Data Transfer Thunderbolt 4 Hub 2-Screen Extension 4K@60Hz Single Output 8K@30Hz 85W PD Support Ethernet 3* USB A 3.2
B0GD85PYK6,USB-C ケーブル 65W,ケーブル,3209,4280,4.6,52,,X860,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0GD85PYK6,https://m.media-amazon.com/images/I/61zPRvNFeJL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN 65W Charger & USB-C Charging Cable Set Orange
B0DGXJS6BF,キャプチャカード,カメラ・キャプチャ,3654,4299,4.2,1178,1K+ bought in past month,25773,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DGXJS6BF,https://m.media-amazon.com/images/I/61rHogGyEtL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN 2K@30Hz HDMI Capture Card 4K@30Hz with Pass-through Function USB 3.0 Full HD 1080P 60Hz Ultra-low Latency Recording, Compatible with Switch, PS5, Xbox, etc"
B0BJQ7F16T,スマホホルダー,スマホアクセサリー,10485,13980,4,6686,200+ bought in past month,PB205,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0BJQ7F16T,https://m.media-amazon.com/images/I/51yVTpKih8L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN PD3.1 Mobile Battery, 145 W High Output, 25,000 mAh High Capacity, 3 Ports, 2 USB-C, 1 USB-A, Single Port, 140 W High Output, 65 W Input, Pass-Through Function, Low Current Mode, 240 W Cable Included, PSE Technical Standards Compliant, MacBook, Windows, PC, iPad Pro, iPhone 17, Galaxy S26 Ultra Android Smartphones, Laptops, PB 205"
B0DZX533Y1,ワイヤレス充電器 25W 3-in-1 MagSafe,ワイヤレス充電器,8989,14990,4,274,100+ bought in past month,W757,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DZX533Y1,https://m.media-amazon.com/images/I/51ZPyfDX+qL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN MagFlow 3-in-1 25W Qi2 Wireless Charger, Ultra Fast and Ultra Efficient, Wireless Charging Station Compatible with MagSafe 3 Devices Simultaneously Fast Charging, MagSafe Charger, Thermal Guard"
B0CPDJLJ67,ワイヤレス充電器 2-in-1 MagSafe,ワイヤレス充電器,3243,4990,4,3707,200+ bought in past month,35278,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CPDJLJ67,https://m.media-amazon.com/images/I/51LKw4ClJ5L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN MagFlow Wireless Charger 2 in 1 Compatible with MagSafe Foldable MagSafe Charging Stand 7.5W Qi Certified for iPhone 17/16/15/14/13/12 Series, AirPods 3/2/Pro and More with USB C Port Extension"
B0FJS3P8NT,急速充電器 45W GaN,充電器,2985,3980,4.3,1711,300+ bought in past month,X528,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0FJS3P8NT,https://m.media-amazon.com/images/I/51g8pyLeq2L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN 45W Rapid Charger GaN (4 x USB-C + 1 x USB-A) type-c [PSE Technology Standards Compliant / PD3.0 Compatible, 45W Fast Charging, Compact] GaN Charger Adapter Compatible with iPhone 17 / 16 / 15 / 14 / 13 / iPad / Macbook Air / Galaxy S25-S10 / Pixel / AirPods etc"
B0BY8QNV1C,USB-Cハブ 6-in-1 100W,USBハブ・ドック,5160,6880,4.1,2746,50+ bought in past month,15852,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0BY8QNV1C,https://m.media-amazon.com/images/I/71lN8tyg7xL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok 206 6 in 1 USB C Hub, 2 x HDMI Output, Docking Station, 4K@60Hz, Single Output, 8K@30Hz, 100W PD Rapid Charging, 5Gbps Fast Data Transfer, Compatible with MacBook M1/M2, XPS, ThinkPad"
B0CR6JND4M,USB-Cハブ 9-in-1,USBハブ・ドック,5999,7999,4.2,2430,100+ bought in past month,25869,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CR6JND4M,https://m.media-amazon.com/images/I/61AkaoERTWL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN TV Dock for Steam Deck/Switch/Rog Ally/Legion Go 9-in-1 USB-C Hub Docking Station HDMI 4K@60HZ 10Gbps High-Speed Transfer USB-A 3.2*USB-C 3.2 1000Mbps Ethernet 2*USB 2.0 Ports SD/TF Card
B0D9QP375K,急速充電器 20W,充電器,1104,1380,4.4,898,100+ bought in past month,X227,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D9QP375K,https://m.media-amazon.com/images/I/41zbu3Gb7lL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN USB Charger 20W, USB-A + USB-C Outlet Adapter, PSE Technology Standards Compliant, PD3.0 Rapid Charging, Compatible with iPhone 17/15/14/13/iPad/Android/Galaxy S24-S10/Various Devices"
B0DSBNYRKS,USB-C ケーブル 145W,ケーブル,3680,4980,4.6,869,500+ bought in past month,EC604,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DSBNYRKS,https://m.media-amazon.com/images/I/51JtC5mifTL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN [70cm Retractable] Total 145W Cigarette Socket for PC Work in Car with Built-in USB-C Cable, Length and Angle Adjustable with One Hand, ""Car Utility Storage"" PD and PPS Compatible, Compatible"
B0BLNCNCMZ,USB-Cハブ 100W,USBハブ・ドック,16197,22990,4.1,875,50+ bought in past month,90912,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0BLNCNCMZ,https://m.media-amazon.com/images/I/71WqDtWyKhL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN Revodok Pro 209 Docking Station USB-C Hub 10 Gbps High-Speed Data Transfer 4K@60Hz 2*HDMI+2*DP 1Gbps Ethernet RJ45+[PD 100W] Fast Charging Port Compatible with MacBook Pro Air Pro Galaxy S20
B0FQBQ1893,SDカードリーダー Type-C,SDカードリーダー,3149,4199,4.3,11,,CM888,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0FQBQ1893,https://m.media-amazon.com/images/I/61AS8HH0nIL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok 7-in-1 USB Hub, Face Design, HDMI 2.0, 4K @ 60Hz Output, PD 100W Fast Charging, USB-A 3.2 x 2 + Type 3.2 + USB-A 2.0, 10 Gbps High Speed Transfer, SD Card Reader, 2.6 oz (75 g), Ultra Compact Design, Compatible with Window/MacOS/Linux/MacOS/Linux/Android Systems, Mac Pro/Air/iPad Pro, etc. Compatible Type c Hub"
B0D1XK8H21,USB-Cハブ 10-in-1 100W,USBハブ・ドック,6003,7690,4,919,100+ bought in past month,45366,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D1XK8H21,https://m.media-amazon.com/images/I/71MsBZkkPzL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok 10 in 1 USB C Docking Station, USB C Hub with Two HDMI Expansion, USB A & C 3.2 10Gbps Data Transfer Ports 4K@60Hz, Two Expansion 8K@30Hz, 100W PD Fast Charging, 1Gbps Ethernet Port, SD"
B0F24B1VJN,USB-Cハブ 6-in-1 100W,USBハブ・ドック,3182,3979,4.2,416,50+ bought in past month,75244,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0F24B1VJN,https://m.media-amazon.com/images/I/61qtOyDGGpL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok USB-C Hub, 6 in 1 Extended Hub, DP Output, 4K@60Hz, PD100W Charging, USB-A & USB-C 10Gbps, Fast Transfer, Compact, Lightweight, Aluminum, for MacBook, Windows, iPad Pro"
B0CHY1ZGYB,車載充電器 30W,車載充電器,840,1299,4.2,1100,2K+ bought in past month,25845,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CHY1ZGYB,https://m.media-amazon.com/images/I/51f8gPBkUGL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN USB C Car Charger 2-Port Mini Compact【PD30W+SCP22.5W Fast Charging】 PD3.0/QC4.0/PPS Compatible 12V・24V Car Compatible In-Car Charger Compact Size Lightweight Durable Car Charger Compatible with
B0FWRRT3VF,ワイヤレス充電器 25W MagSafe,ワイヤレス充電器,2872,3590,3.8,331,400+ bought in past month,95295,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0FWRRT3VF,https://m.media-amazon.com/images/I/51Tjt0XABML._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN MagFlow 25W Qi2 Wireless Charger, iPhone 17 Series, iPhone 16 (iOS 26 Version and Later), AirPods Earphones, Fast Charging, Max 25W Output, Compatible with MagSafe, Magnetic, Qi2 Certified, Ultra Strong Magnetic, Wireless Charging, Compact, Thin and Convenient to Carry"
B0D9GSM9PB,ワイヤレス充電器 15W MagSafe,ワイヤレス充電器,2880,,3.8,348,50+ bought in past month,W703,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D9GSM9PB,https://m.media-amazon.com/images/I/51Ea1CzgS+L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN MagFlow Qi2 15W MagSafe Charger, MagSafe Magnetic, Ultra-Slim Compact Cradle Dock, Wireless Charger, Super Strong Magnet, Just Place to Charge iPhone 16/iPhone 17 Pro/iPhone 16 Pro Max/15/14/13"
B0BNBJFFB2,SDカードリーダー Type-C,SDカードリーダー,5160,5822,4.3,673,50+ bought in past month,15375,In Stock Click here for details of availability. Only 1 left in stock - order soon. Click here for details of availability.,https://www.amazon.co.jp/dp/B0BNBJFFB2,https://m.media-amazon.com/images/I/71754BVi0yL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok 109 USB C Hub, 9-IN-1, USB-A x 2, USB 3.0 Hub, 4K, 60Hz, HDMI Hub, Type-C PD100W, Fast Charging, 5Gbps High Speed Transfer, SD Micro SD/TF Card Reader, Type C Adapter, Compatible with MacBook Air M1 M2 Pro, Dell XPS HP, etc"
B0F8MHMSV5,USB-Cハブ 7-in-1 100W,USBハブ・ドック,4334,5099,4.2,146,,75774,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0F8MHMSV5,https://m.media-amazon.com/images/I/71xukIljmNL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok Pro 7 in 1 USB-C Hub for DisplayPort 4K 60Hz, 100W Fast Charge 10Gbps USB-A and USB-C 3.2 Compatible with MacBook Pro/Air, iPad Pro, Thinkpad, Rog Ally and More"
B0FQBYRSP1,ワイヤレス充電器 15W 2-in-1 MagSafe,ワイヤレス充電器,3992,4990,3.8,309,100+ bought in past month,W710,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0FQBYRSP1,https://m.media-amazon.com/images/I/51vM4uwmQeL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Zapix Qi2 15W Wireless Charger, 2 in 1 Compatible with Magsafe, iPhone Charger, 90° Adjustable, Magnetic, Wireless, Wireless Rapid for iPhone 17/16/15/14/13/12 Series & AirPods"
B07S8MZBZ9,急速充電器 20W,充電器,934,999,4.3,1684,50+ bought in past month,60449JP,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B07S8MZBZ9,https://m.media-amazon.com/images/I/41e-NAczBVL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN CD137 20W Type-C Charger, PD3.0 Rapid Charging, AC Adapter, Type-C, iPhone 17-8 Series, iPad Air, Mini, Pro, iPhone XS, XR X 8 and More, QC4.0, 3.0, 2.0 Compatible, Galaxy S10, S9 Plus, Other"
B0CR6J7ZQK,USB-Cハブ 5-in-1,USBハブ・ドック,1700,2099,4.2,29349,200+ bought in past month,35580,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CR6J7ZQK,https://m.media-amazon.com/images/I/61k+08OxpwL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN Revodok 105 USB C Hub 5-IN-1 HDMI Output (White)
B0B9X1RY8G,ワイヤレス充電器 15W 2-in-1 MagSafe,ワイヤレス充電器,3217,3799,4.1,7197,100+ bought in past month,90668,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0B9X1RY8G,https://m.media-amazon.com/images/I/61u2AIKGt9L._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN MagFlow Magsafe Charger 2 in 1 Magnetic Charging Stand Qi Certified Wireless Charger 15W/7.5W/5W Fast Charging for 2 Devices Angle Adjustment for Horizontal and Vertical Use Compatible with
B0BXDSW15H,USB-Cハブ 7-in-1 100W,USBハブ・ドック,3984,4980,4.1,529,,15531,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0BXDSW15H,https://m.media-amazon.com/images/I/61f6dSGz6RL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN Revodok Pro 107 USB C Hub 7-in-1 USB Hub 10Gbps Super High-Speed Data Transfer 2*USB-A 3.2+1*USB-C 3.2(10Gbps) Port Expansion Type-C Power Delivery 100W Fast Charging 4K@30Hz HDMI Output SD/TF
B0DYTVVLH4,USB-Cハブ 14-in-1 100W,USBハブ・ドック,15098,21999,3.8,637,300+ bought in past month,CM843,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DYTVVLH4,https://m.media-amazon.com/images/I/61AuBDPwDvL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok Pro 314 USB-C Docking Station, Supports 3 Screens, Equipped with 2 HDMI & DP, 14-in-1 (HDMI 4K/60Hz, DP 8K, 100W PD Charging, 10Gbps High Speed Transfer, RJ45 Wired LAN, SD/TF"
B0BZHZ56M9,急速充電器 30W GaN,充電器,2100,2950,4.3,7536,50+ bought in past month,15550,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0BZHZ56M9,https://m.media-amazon.com/images/I/51bmamdYmGL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN Uno 30W PD Charger Robot-shaped USB-C Charger 【Expressions show the situation・Detachable magnetic boots included】 GaNFast equipped PD/PPS/QC4+ standard compliant PSE technical standards
B0C8MSP967,マウス,マウス,3224,4299,4.2,2588,400+ bought in past month,,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0C8MSP967,https://m.media-amazon.com/images/I/71UBflstDsL._AC_SX300_SY300_QL70_ML2_.jpg,"UGREEN USB 3.0 Switcher, Supports 2 PCs, USB-C & A Devices, 5 Gbps, High Speed Transfer, USB Switching, Printer / Mouse / Keyboard, Hub and More, Remote Control & Switch Button, Switcher, 2 USB Cable"
B0DQWJNJ21,Thunderbolt 4 ドック 13-in-1 90W,USBハブ・ドック,35192,45990,4.4,181,,25054A,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DQWJNJ21,https://m.media-amazon.com/images/I/61o0xpGAU2L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok Max 213 13-in-1 Thunderbolt 4 Docking Station 40Gbps High Speed Data Transfer 2 Screen Extensions 4K@60Hz Single Output 8K@30Hz 90W PD Support 2.5Gbps Ethernet, SD/TF 4.0 Card, 3.5mm Audio, USB A3.2 & USB C3.2 Ports, Macbook, Windows PC Laptop and More Application"
B0FGCVR5WZ,SSD/HDDケース M.2,SSD・HDDケース,36665,48990,4.3,11,,CM887,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0FGCVR5WZ,https://m.media-amazon.com/images/I/61ZOtOr-u6L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok Maxidok Thunderbolt5 Mac Mini Docking Station, Thunderbolt 5 x 2 + DP, 2 Display Display, 8K @ 60Hz, M.2, SSD Extension, 8TB Storage Expansion, 120 Gbps, High Speed Transfer, 65W Power"
B0CPF66RTD,ワイヤレス充電器 15W 2-in-1 MagSafe,ワイヤレス充電器,4112,5980,4,1281,300+ bought in past month,35316,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CPF66RTD,https://m.media-amazon.com/images/I/61mDXDHJx4L._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN MagFlow Qi2 Wireless Charger 15W MagSafe Compatible iPhone Wireless Charging Foldable MagSafe Charging Stand [2in1 + USB C Port Expansion] Compatible with iPhone 17/16/15/14/13/12 Series
B0FXMCYCJ8,ワイヤレス充電器 25W MagSafe,ワイヤレス充電器,5242,6990,4.3,45,100+ bought in past month,75247,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0FXMCYCJ8,https://m.media-amazon.com/images/I/61Z9+IlvCvL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN MagFlow Pro Qi2 25W Wireless Charger, Compatible with MagSafe [TEC Active Cooling Technology + Built-in High-Rotation Fan, Touch Cooling Sensation, Overheating Prevention, Charging Speed"
B0BW3GKLYR,SDカードリーダー,SDカードリーダー,5160,6881,4.4,430,,15601,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0BW3GKLYR,https://m.media-amazon.com/images/I/616rcLIf6GL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN 10-in-1 USB C Hub 4K HDMI & VGA Output USB Hub with 3x USB 3.0 Ports, 100W PD Fast Charging, 1Gbps Ethernet, 3.5mm Audio Port, SD/MicroSD Card Reader, Docking Station Compatible with ROG"
B0BXDSPSPW,SDカードリーダー Type-C,SDカードリーダー,,,4.2,1227,,15532,Click here for details of availability.,https://www.amazon.co.jp/dp/B0BXDSPSPW,https://m.media-amazon.com/images/I/71e2jEMcU0L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok Pro 109-usb c Hub 9 in 1 10Gbps USB-C 3.2 & A3.2 High Speed Transfer Port 4K@60Hz HDMI Output 100W PD Rapid Charging 1Gbps Ethernet with SD/TF Card Reader Compatible with MacBook Pro/Air,M1/M2,Thinkpad [USB C Port Does Not Support Video Output]"
B0D1XLP7T5,USB-Cハブ 6-in-1,USBハブ・ドック,2099,2999,3.7,1196,500+ bought in past month,45320,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D1XLP7T5,https://m.media-amazon.com/images/I/61QWEFzrV7L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN USB C Wired LAN Adapter, 6-in-1 LAN Hub with LAN Port, USB-C to RJ45 Gigabit Ethernet, 10Gbps, Ultra Fast Transfer, Type C*2 + USB A*2, Expansion, Compatible with Surface/XPS/Mac OS/Windows"
B0CM9C91MK,HDMI ケーブル,ケーブル,4499,5999,4,1090,500+ bought in past month,15390A,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CM9C91MK,https://m.media-amazon.com/images/I/61OBP6TBO6L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN 4K HDMI Capture Board with Pass-through Function 4K@60Hz / 1080P 60Hz Low Latency for Game Streaming, Live Broadcast, Conference, Recording, Screen Sharing Compatible with Switch PS5/PS4 Xbox"
B0CX18S4T4,ワイヤレス充電器 15W 3-in-1 MagSafe,ワイヤレス充電器,9440,,4.2,280,,45024,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CX18S4T4,https://m.media-amazon.com/images/I/51HtFd2AotL._AC_SX300_SY300_QL70_ML2_.jpg,"UGREEN 3 in 1 MagFlow Wireless Charger, Qi2 15W MagSafe Charger, Compatible with iPhone Apple Watch, 3 Devices Charging Simultaneously, Foldable, Compatible with iPhone 17/16/15/14/13/12 Series, mini"
B0DSBNWQS9,ワイヤレス充電器 15W 3-in-1 MagSafe,ワイヤレス充電器,5557,6669,4,220,,W712,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DSBNWQS9,https://m.media-amazon.com/images/I/61k4U9BD9LL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN Magsafe Compatible 3-in-1 Wireless Charger [Circular Blind Operation & Tip-over Prevention] MFi・Qi2 Certified 15W Magsafe Charger Fast Charging for 3 Devices Simultaneously iPhone 17/16/15/14
B0FGXFR6JJ,ワイヤレス充電器 15W 2-in-1 MagSafe,ワイヤレス充電器,3142,4190,4.1,879,100+ bought in past month,W701,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0FGXFR6JJ,https://m.media-amazon.com/images/I/41fHytjdJML._AC_SY300_SX300_QL70_ML2_.jpg,"Ugreen Zapix Wireless Charger, MagSafe 15W, Qi2 Certified, 2-in-1 Earphones, iPhone Wireless Charging, Magnetic, 48° Exquisite Viewing Angle, iPhone 17/16/15/14/13/12 Series & AirPods Compatible, 3.3 ft (1 m) Cable Included"
B0956BLF4S,USB-Cハブ 5-in-1,USBハブ・ドック,2198,2748,4,2658,200+ bought in past month,60554,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0956BLF4S,https://m.media-amazon.com/images/I/61UcefcJ0kL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN USB 3.0 Wired LAN Adapter 1000Mbps Giga 5-in-1 3*USB-A Ports 5Gbps High-Speed Transfer LAN Hub RJ45 Switch/Windows/macOS Compatible
B0CWV2SLL8,ワイヤレス充電器 15W 2-in-1 MagSafe,ワイヤレス充電器,4172,5990,4.1,953,50+ bought in past month,W706,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CWV2SLL8,https://m.media-amazon.com/images/I/61fr-hmrUqL._AC_SX300_SY300_QL70_ML2_.jpg,"UGREEN MagFlow Qi2 Wireless Charger, MagSafe Foldable, Qi2 Charging Stand (2-in-1), MagSafe Charger, Max 15W Fast Output, Magnetic, Angle Adjustment, Alloy Texture, Thin and Lightweight, Compatible"
B0DQKHPPBJ,ワイヤレス充電器 45W 3-in-1 MagSafe,ワイヤレス充電器,11165,15980,3.9,184,,W711,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DQKHPPBJ,https://m.media-amazon.com/images/I/513kMUIl5pL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN MagFlow 25W Qi2 Certified, 3-in-1 Wireless Charger, Magnetic Fast Charging Stand, Tabletop, Compatible with MagSafe iPhone 17/16/15/14/13/12 Series, Apple Watch and AirPods Simultaneously Charging, Strong Magnetic Suction, Thermal Guard Temperature Control, Multiple Protection, PSE Technology Standards 45W PD Adapter Included"
B0D9Q9WCLX,USB-Cハブ 5-in-1 100W,USBハブ・ドック,1987,2499,4.1,1357,300+ bought in past month,55334,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D9Q9WCLX,https://m.media-amazon.com/images/I/71pA1t8h4QL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN USB C Hub 100W PD Charging Compatible 10Gbps 5 in 1 USB C 3.2 Adapter, 5 Ports (4x USB-C 10Gbps Data Transfer + 100W PD Port) Compatible with MacBook Pro/Air, iPad Pro, iPhone 15/15 Pro Max"
B0C22V8WSF,スマホケース MagSafe,スマホアクセサリー,2248,2999,4.4,3815,300+ bought in past month,15709,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0C22V8WSF,https://m.media-amazon.com/images/I/615ONlJKBJL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN MagSafe Compatible Foldable Portable Phone Stand, Desktop Magnetic Stand for iPhone 16/15/14/13/12 Series, MagSafe Case Compatible, Three-Joint Adjustable, Aluminum Alloy, MagSafe Stand"
B0DZX3SRP5,ワイヤレス充電器 25W 2-in-1 MagSafe,ワイヤレス充電器,5617,7490,3.9,199,50+ bought in past month,W756,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DZX3SRP5,https://m.media-amazon.com/images/I/51PsekkAC5L._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN MagFlow 25W Qi2【World First Release Technological Innovation】Wireless 2-in-1 Charger MagSafe Compatible MagSafe Ultra-thin Foldable Stand Thermal Guard™ Temperature Control Compatible with
B0CY55LCT3,スマホケース MagSafe,スマホアクセサリー,2133,2699,4.3,280,100+ bought in past month,45165,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CY55LCT3,https://m.media-amazon.com/images/I/81NuNzRAiPL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Magsafe Compatible Smartphone Stand, Card Case, Super Strong Magnet, Portable Stand, Lightweight, Ultra-Slim Magsafe Stand, Card Storage, Card Box, Card Wallet, Convenient to Carry, Compatible"
B0D7BL2JBN,USB-C ケーブル 100W 0.5m,ケーブル,1478,1780,4.3,5747,,,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D7BL2JBN,https://m.media-amazon.com/images/I/61XC0rfC98L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Uno 100W USB C Cable iPhone Charging Cable PD3.0 100W/5A iPhone 17 16 Rapid Charge LED Smile Visualization Funny Type-C USB C to C Cord Durable Compatible with iPhone Series, MacBook Pro, Matebook, iPad, Xperia, Galaxy and Other Type C Models 0.5M"
B0CN2KFDVW,急速充電器 65W,充電器,3980,5380,4.4,5265,50+ bought in past month,CD361,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CN2KFDVW,https://m.media-amazon.com/images/I/51SBGDvOJxL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Uno Charger, 65W Rapid Charger, USB-C x 2 and USB-A x 1, Supports PD/PPS/QC4+/SCP Standards, Compatible with MacBook Air/iPad Pro/iPhone 7-8 Series/Galaxy S23-S10 Series/Xperia Series/Pixel"
B0D7BL47CK,USB-C ケーブル 100W,ケーブル,1495,1899,4.3,5747,50+ bought in past month,,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D7BL47CK,https://m.media-amazon.com/images/I/61XC0rfC98L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Uno 100W USB C Cable iPhone Charging Cable PD3.0 100W/5A iPhone 17 16 Rapid Charge LED Smile Visualization Funny Type-C USB C to C Cord Durable Compatible with iPhone Series, MacBook Pro"
B0D4DX8PH3,ワイヤレス充電器 15W 2-in-1 MagSafe,ワイヤレス充電器,5446,6990,4.4,931,,W709,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D4DX8PH3,https://m.media-amazon.com/images/I/61KC0+zNXuL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Uno Qi2 15W Wireless Charger, MagSafe Compatible, iPhone Wireless Charging, 2 Devices Simultaneously Rapid Charging, Face Display, Adjustable Angle, 2-in-1 & USB C Port Extended, Compatible with iPhone 17/16/15/14/13/12/AirPods Pro, 3/2/1/iWatch, Wireless Earphones"
B0D9GQMMSV,"モバイルバッテリー 20,000mAh 20W",モバイルバッテリー,3380,4380,4.5,168,100+ bought in past month,PB525,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D9GQMMSV,https://m.media-amazon.com/images/I/51pzv6-w1uL._AC_SY300_SX300_QL70_ML2_.jpg,"Ugreen PB525 22.5 W 20,000 mAh, Built-in Charging Cord, Cute Remaining Charge Display, Large Capacity, Mobile Battery, 20 W, Rapid Charging, 22.5 W, 20 W, Emoji Display, Convenient, Compact, Handheld"
B0D7CKV1J8,イヤホン Bluetooth,イヤホン・ヘッドホン,2728,3399,4,2160,400+ bought in past month,45008,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D7CKV1J8,https://m.media-amazon.com/images/I/61Hd-cVZszL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN PS5 USB-C Bluetooth Adapter APTX Low Latency & aptX Compatible Bluetooth 5.3 Audio Adapter, Connects Wireless Headphones & Earphones Wireless Audio Transmitter Compatible with PS5/Switch/Switch"
